,0,0
0,homogeneity115b,-13.384570587308021
1,hglre15b,-10.489992591851276
2,idmn15b,-5.891837777796649
3,idn15b,-5.891837777796649
4,entropy15b,-4.6161836503288605
5,compactness115b,-4.593819104759748
6,rootmeansquare15b,-3.4843801807541475
7,meanintensity15b,-3.2283071499921747
8,dissimilarity15b,-2.801109842105892
9,autocorrelation15b,-2.7861227163859614
10,sumentropy15b,-2.6561290978281478
11,sphericity15b,-2.562765078845903
12,surfacevolumeratio15b,-2.2870763649334247
13,varianceglcm15b,-2.0648207718944205
14,maximumprobability15b,-1.8110293616116064
15,variance15b,-1.5917963568340645
16,lglre15b,-1.447043439961785
17,kurtosis15b,-1.1840052644424344
18,meandeviation15b,-1.1739775562360388
19,maximum3ddiameter15b,-1.0157068496542985
20,graylevels15b,-0.8536031838591993
21,lre15b,-0.8478237873951167
22,correlation15b,-0.5616968379807449
23,sphericaldisproportion15b,-0.5522712025722908
24,energy15b,-0.4806690142952632
25,laa910perc15b,-0.4473167066176571
26,volumemm315b,-0.421505043802028
27,volumecc15b,-0.4215006373754087
28,sre15b,-0.39956225524322203
29,rp15b,-0.39945705857369285
30,minimumintensity15b,-0.22961552242408084
31,extrudedsurfacearea15b,-0.22903404917612522
32,lrlgle15b,-0.2260121076578409
33,sumvariance15b,-0.22523520690765908
34,clustertendency15b,-0.1983606200499648
35,maximumintensity15b,-0.1955240863472595
36,gln15b,-0.17904674527359676
37,extrudedsurfacevolumeratio15b,-0.14653292235951443
38,boxcountingdimension15b,-0.12717195730770836
39,range15b,-0.1239026109757006
40,imc115b,-0.09568043272478305
41,informationdimension15b,0.020092526280852452
42,surfaceareamm215b,0.08634165640341727
43,laa950perc15b,0.11671368082481226
44,inversevariance15b,0.38701342926750293
45,clustershade15b,0.43787094397209114
46,lrhgle15b,0.5171756470505792
47,laa856perc15b,0.6175808897677487
48,uniformity15b,0.6661540465747848
49,medianintensity15b,0.927938331099569
50,compactness215b,0.9386391057306396
51,ventilationheterogeneity15b,1.0361784926419517
52,clusterprominence15b,1.0491475259005838
53,contrast15b,1.5371201981146747
54,skewness15b,1.7295974641823204
55,srlgle15b,1.8606919460136926
56,sumaverage15b,2.3237376086044614
57,standarddeviation15b,3.3005493118926736
58,energyglcm15b,3.6509777822368132
59,extrudedvolume15b,4.789820321365144
60,voxelcount15b,4.917435231078151
61,homogeneity215b,7.263859666844772
62,rln15b,8.157793994335382
63,entropyglcm15b,8.8233736808563
64,srhgle15b,12.0183826008685
65,differenceentropy15b,17.623775530272834
